product_id,sku,name,category,price,is_active,description,seller_name,seller_location,seller_member_since,seller_response_time,seller_shipping_policy,seller_return_policy,seller_badge
1,SKU0001,Wireless Bluetooth Headphones,Electronics,79.99,True,Premium noise-cancelling wireless headphones with 30-hour battery life,ElectroStore,"Pune, Maharashtra",2023-01-25,Within 1 hour,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Premium
2,SKU0002,Men's Cotton T-Shirt,Clothing,24.99,True,100% cotton crew neck t-shirt available in multiple colors,Home Decor,"Hyderabad, Telangana",2024-07-19,Within 4 hours,Ships from Bangalore within 1-2 business days,60-day return policy with easy returns,Top Rated
3,SKU0003,Garden Hose 50ft,Home & Garden,34.99,True,Durable expandable garden hose with spray nozzle,Style Station,"Pune, Maharashtra",2023-10-02,Within 2 hours,Ships from Pune within 2-4 business days,30-day return policy with free returns,Verified
4,SKU0004,Running Shoes,Sports & Outdoors,89.99,True,Lightweight running shoes with cushioned sole,Adventure Gear,"Ahmedabad, Gujarat",2021-12-03,Within 4 hours,Ships from Bangalore within 1-2 business days,7-day return policy with original packaging,Verified
5,SKU0005,The Great Gatsby,Books,14.99,True,Classic American novel by F. Scott Fitzgerald,Page Turner Books,"Delhi, Delhi",2021-02-04,Within 24 hours,Ships from Chennai within 3-5 business days,No returns on sale items; 30 days for regular items,Verified
6,SKU0006,Board Game - Strategy Quest,Toys & Games,39.99,True,Family board game for 2-6 players ages 10+,Adventure Gear,"Jaipur, Rajasthan",2024-05-15,Within 4 hours,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Premium
7,SKU0007,Organic Green Tea 100ct,Food & Beverages,12.99,True,Premium organic green tea bags,Style Station,"Hyderabad, Telangana",2022-12-18,Same day,Ships from Pune within 2-4 business days,15-day return policy on unused items,Featured
8,SKU0008,Vitamin C Serum,Health & Beauty,29.99,True,Anti-aging vitamin C serum for face,Car Care Pro,"Chennai, Tamil Nadu",2023-10-31,Within 2 hours,Ships from Bangalore within 1-2 business days,15-day return policy on unused items,Featured
9,SKU0009,Car Phone Mount,Automotive,19.99,True,Universal dashboard phone holder,Fashion Hub,"Kolkata, West Bengal",2020-12-24,Within 2 hours,Ships from Chennai within 3-5 business days,15-day return policy on unused items,Top Rated
10,SKU0010,4K Smart TV 55 inch,Electronics,599.99,True,55-inch 4K UHD Smart LED TV with HDR,Play Zone,"Ahmedabad, Gujarat",2020-03-01,Within 1 hour,Ships from Mumbai within 1-2 business days,60-day return policy with easy returns,Premium
11,SKU0011,Women's Yoga Pants,Clothing,44.99,True,High-waist stretchy yoga leggings,Gadget Galaxy,"Chennai, Tamil Nadu",2020-09-24,Within 1 hour,Ships from Chennai within 3-5 business days,60-day return policy with easy returns,Verified
12,SKU0012,Indoor Plant Pot Set,Home & Garden,28.99,True,Set of 3 ceramic planters with drainage,Green Garden Co,"Surat, Gujarat",2020-03-27,Within 24 hours,Ships from Delhi within 2-3 business days,15-day return policy on unused items,Top Rated
13,SKU0013,Camping Tent 4-Person,Sports & Outdoors,149.99,True,Waterproof family camping tent,BookLovers,"Surat, Gujarat",2023-05-15,Within 1 hour,Ships from Delhi within 2-3 business days,30-day return policy with free returns,Premium
14,SKU0014,Harry Potter Box Set,Books,89.99,True,Complete 7-book Harry Potter series,Organic Foods,"Hyderabad, Telangana",2023-12-03,Same day,Ships from Delhi within 2-3 business days,No returns on sale items; 30 days for regular items,Trusted
